
Mine/Prospect,Notes 
Copperwood,"Location: County: The county is known for the Porcupine Mountains Wilderness State Park, affectionately called the Porkies, which spans about 60,000 acres. There’s North America’s largest ski jump, resorts, and the shore of Lake Superior.
Location: Additional Location Information: Located 14 miles and 24 miles from the towns of Wakefield (pop 1,702, 2020) and Ironwood (pop 5,045, 2020), respectively; at south edge of the Keweenaw Copper province, the Porcupine Mountains copper district, western end of upper peninsula of Michigan.
Project Description: Status of Project: Almost fully permitted, site preparation nearing the construction phase (pending project financing). The developer has projected construction start dates in the past that have not materialized. The latest information issued by the developer indicates the mine could open as soon as the spring of 2026.
Project Description: Regulatory Challenges: Permitting for the mine has sputtered for more than a decade, including multiple air quality permits from the state Department of Environment, Great Lakes and Energy. The last one expired in 2023; another proposal went out for public comment in late 2024.
Developer Description: Lead Developer: Owned 100%
Financial Support: Amount: The state (Michigan Strategic Fund) is currently considering a $50 million grant for infrastructure, conditional on the developer raising $150 million in private-sector support by December 2025.
Statements of Support from Public Officials: Local: The developer's supporters include many local governments, which believe the project will bolster the region’s economy.  Resolutions of support for the Copperwood Mine come from Gogebic County, Ontonagon County, the cities of Ironwood and Bessemer and Ironwood, Bergland, Carp Lake and Erwin townships and the Western Upper Peninsula Planning and Development Region Commission.
Statements of Support from Public Officials: State: Governor Gretchen Whitmer’s administration supports the project.
Concerned Interest Groups: Indigenous Groups: Anishinaabe People; Little Traverse Bay Bands of Odawa Indians
Concerned Interest Groups: Scale of Environmental Groups: Local -- Mining Action Group and Protect the Porkies. 
Concerned Interest Groups: Evidence of Organized Protest(s): Protests by tribes 
Reasons for Concern: Impacts to Natural Environment: The area is considered special because of the old-growth forests and proximity to the Porcupine Mountains, Wilderness State Park, and the shore of Lake Superior. 
Reasons for Concern: Traffic & Noise: Local residents express concerns about noise, light, and traffic.
Reasons for Concern: Subsistence Hunting/Fishing: The mine would be built on land Ojibwe nations ceded to the United States in the 1842 Treaty of La Pointe, stoking concerns that potential contamination could threaten the rights of Anishinaabe people to hunt, fish, and gather on ceded territory.
Reasons for Concern: Historical Mining or Reclamation Issues: Previous mining in the Keweenaw left dangerous reminders of the threat they can pose, like elements such as arsenic and mercury in wild rice beds in and around the Keweenaw Bay Indian Community reservation.
Reasons for Concern: Waste Management: The proposed site waste management plan includes a waste basin to store mining byproducts, sparking fears of potential leaks or ruptures that could threaten Lake Superior and nearby Presque Isle River.
Supportive Interest Groups: Commercial Groups: CEO of InvestUP, an economic development organization based in Marquette.
Reasons for Support: Economic Growth: Some see the project as a lifeline for the region’s struggling rural economy.  
Reasons for Support: Tax Revenue: $120 million in local, county and state tax revenue.
Reasons for Support: Employment: The Copperwood Mine would create 380 mining jobs. Spending from the mine, direct and indirect, would create an estimated 313 additional jobs."
Diamond Creek,"Location: Additional Location Information: The Diamond Creek REE Project covers approximately 1,841 hectares (4,550 acres) and is comprised of 244 unpatented lode mining claims in central Idaho, a first tier mining jurisdiction located just north-northwest of the town of Salmon, Idaho.                                                                                               Project Description: Status of Project: Comprised of 4,550 acres of unpatented mining claims in the middle of the Idaho REE-Th Belt. Diamond Creek has a historic USGS resource which estimated 70,000+ tons of total rare earth elements at an average comprised ge grade of 1.22% TREO. In 2022 the company completed their first drill program at Diamond Creek, initial inspection of the core utilizing XRF analysis is favorable (see news release dated November 3rd) and are still awaiting the official assays from the lab.                     Land Ownership: Type of Land: Maintains 4,550 acres of unpatented mining claims and state lease land at Diamond Creek. :"
Eagle,"Location: Additional Location Information: The mine is located in Western Marquette County, Upper Peninsula, Michigan; closest town is Big Bay (pop 257, 2020), 15 miles; Marquette (pop 20,629, 2020) is 33 miles away. Ore from the Eagle mine is trucked to the Humboldt mill, site of a former iron ore processing facility, for processing into concentrates. The Humboldt mill is approximately 37 miles west of Marquette.
Project Description: Status of Project: Only active nickel mine in the United States.  Production began 2014; shutdown scheduled for 2029 unless new reserves are discovered.
Project Description: Regulatory Challenges: From discovery of the deposit in 2003, it took almost 15 years before mining began. Environmental and indigenous groups mounted spirited opposition, including litigation. The Michigan Court of Appeals upheld the mine’s operating and water permits in August, 2013. 
Developer Description: Was There Change in Ownership during Project?: Lundin purchased Eagle Creek from Kennecott (Rio Tinto) in 2013.
Commercial Plans: Processing Plan in US: Processing at the  nearby Humboldt Mill.
Financial Support: Federal Agency:The U.S. Department of Energy (DOE) has selected REV Nickel for an award up to $145 million. The REV Nickel Project, in partnership with Revex Technologies, will produce nickel concentrate and other valuable U.S.-sourced critical minerals from metal-bearing waste streams, including discarded mine tailings and spent lithium-ion batteries. The recipient of the this funding is not the developer of the mine.
Statements of Support from Public Officials: State: Former Governor Jennifer Granholm (D).
Statements of Support from Public Officials: Federal: Biden Administration.
Statements of Concern from Public Officials: Federal:  EPA.
Litigation: Evidence of Litigation: A coalition of national and local environmental groups and local tribes challenged both the state operating permit and the state water permit.  The litigation ended when the Michigan Court of Appeals affirmed both permits in August 2013. One lawsuit addressed that state operating permit; the other addressed the state water permit.
Concerned Interest Groups: Community Residents/Groups: Community Foundation of Marquette County
Concerned Interest Groups: Indigenous Groups: Prior to opening, the mine was a target of multiple protests by the Keweenaw Bay Indian Community (KBIC).
Concerned Interest Groups: Scale of Environmental Groups: National -- National Wildlife Federation (NWF); local/regional -- Mining Action Group (previously known as  Save the Wild U.P.) and Superior Watershed Partnership and Land Trust, Yellow Dog Watershed Preserve (YDWP); Upper Peninsula Environmental Coalition
Concerned Interest Groups: Recreational Groups: Huron Mountain Club (HMC); Snowmobile Club
Concerned Interest Groups: Evidence of Organized Protests: 2010 by Keweenaw Bay Indian Community
Reasons for Concern: Site of Historical, Cultural, Spiritual Significance: Eagle rock is a 60-foot outcrop next to the mine mouth that the Keweenaw Bay Indian Community tribe considers sacred.
Reason for Concern: Water Quality: Residents expressed fear that the sulfide mine will lead to sulfuric acid contamination of nearby water sources.
Reasons for Concern: Impact on Species: Unique Coaster Brook Trout.
Reasons for Concern: Subsistence Hunting/Fishing: Could threaten fish populations.
Reasons for Concern: Other: Structural issues and possible collapse of mine."
Elk Creek,"Location: Additional Location Information:  Located 3 miles west of Elk Creek (pop 67, 2020), and 6 miles south of Tecumseh (1,677, 2010), southeast Nebraska; 65 miles southeast of Lincoln (state capital) and 80 miles south of Omaha.
Project Description: Status of Project: Developer difficulties in raising funds to move to the development phase; May 2024 study found that electrification of mine could cut substantially both the capital and operating costs of the project.
Land Ownership: Type of Land: 622 staked mining claims covering approximately 6,871 hectares (16,975 acres) in northern Idaho, in four claim blocks."
Elkhorn,"Location: Additional Location Information: Located 9 miles northwest of the Blackbird Cobalt District in Idaho Cobalt Belt near Salmon (pop 3,295, 2023), central Idaho. 
Project Description: Existing Mine: Starting in 1921, ore with an average grade of 9.5% Co was regularly shipped from four mines in the area.
Project Description: Status of Project: Koba Resources reports in its FY 2024 Annual Report that no significant work was done at its cobalt projects in FY 2024.
Developer Description: Lead Developer: Koba Resources (Australia), spun off New World in 2021.
Developer Description: Was There Change in Ownership during Project?: Prior owner was New World Cobalt Limited (Australia), previously named Longford Resources (Australia); temporarily sold to Tyranna in August 2018. 
Land Ownership: Type of Land: 28 unpatented mining claims for 227 hectares of public land; part of Salmon National Forest (USFS)"
Emily/Cuyuna,"Location: Additional Location Information:  Located in Cuyuna Iron Range near small town of Cuyuna (pop 296, 2020) in central Minnesota, 90 miles west of Duluth.
Project Description: Existing Mine: Mine closed in 1960, town of Harshaw was then abandoned.
Project Description: Status of Project: Exploratory drilling was completed in 2024, and the project is awaiting permits for further development.
Developer Description: Was There Change in Ownership during Project?: South32 purchased the land in 2018 from Arizona Mining.
Commercial Plans: Processing Plan in US: Processing either in Mexico or Canada.
Statements of Support from Public Officials: Federal: Designated FAST-41 for acelerated permitting during the Biden administration.
Concerned Interest Groups: Scale of Environmental Groups: Local -- Emily Mine Information Group
Reason for Concern: Water Quality: The aquifer that supplies drinking water to the town may be impacted by the mine.
Reason for Concern: Recreation: Mine may impact recreation in area, bird watching, and other tourism.
Reasons for Support: Historical Mining or Reclamation Issues: Developer assumed duty to clean up historical mining waste, completed in 2020, but some residents are still wary.
Supportive Interest Groups: Commercial Groups: Electrical cooperative named Crow Wing Power. "
Fish Lake Valley,"Location: Additional Location Information: Village of Dyer ~12 miles south; town of Tonopah ~50 miles east; northern Esmeralda County, equidistant (280 km) between Vegas and Reno, Fish Lake Valley, West Central Nevada.   Note: 30km northwest of Abermarle’s Silver Peak operations, 10km to Ioneer’s Rhyolite Ridge project, and 20km west of Argosy’s Tonopah Lithium project                                                                                                                                                                                                                                                    Project Description: Status of Project: A 2023 drilling program in north region suggests lithium brines likely in the south region.  January 2024 seismic reflection survey identifies promising drilling target in south region.  Next step is deep drill hole to a depth of 1,150 meters in the southern region."
Flux,"Location: Additional Location Information: Located 4 miles south of Patagonia (pop 804, 2020) in southern Arizona, southern Patagonia Mountains, on ridge between Flux Canyon and Alum Gulch.
Project Description: Status of Project: The Flux Project was permitted for seven drill sites and, at this time (May 2024), has drilled on four of them. Remediation work has begun on both the new access roads and on the pads.  So far, the Flux Project has cut short access roads to four new pads, and finished drill work on them. Community outreach began in 2019.
Developer Description: Lead Developer: South 32 purchased Arizona Mining Inc.
Land Ownership: Type of Land: Coronado National Forest (USFS). 
Litigation: Evidence of Litigation: Eight local and national conservation groups  joined together to sue the Forest Service alleging the project's permits were wrongfully issued. The groups were represented by attorneys from EarthJustice. The Forest Service ultimately won the case. Local, regional and national environmental groups are now challenging the recent exploratory drilling permit issued by USFS.  Their quest for a preliminary injunction against drilling did not succeed in the courts, and the case was being heard on the merits as of late 2024.
Concerned Interest Groups: Scale of Environmental Groups: Patagonia Area Resource Alliance (PARA), Arizona Mining Reform Coalition, Center for Biological Diversity, Earthworks, Friends of Santa Cruz River, Friends of Sonoita Creek, Save the Scenic Santa Ritas, and Tucson Audubon Society,  Earthjustice, Western Mining Action Project
Reason for Concern: Impacts to Natural Environment: Concern is that Flux Project is one of several projects by different developers that could generate create “cumulative” ecological stress in the Patagonia Mountains area.
Reasons for Concern: Traffic & Noise: Noise levels could disrupt lives of species;  could lead to a flushing response in nesting Mexican spotted owls. Additionally, there are several other mining projects ongoing in the area, adding to the noise and traffic level.
Reasons for Concern: Classification of Species Impacted: Patagonia Mountains are home to endangered species like the Mexican spotted owl and Western yellow-billed cuckoo. The area is particularly important, advocates argue, for jaguars and ocelots migrating back and forth across the border with Mexico.  The Patagonia Mountains are believed to provide a corridor for jaguars and ocelots moving north from Mexico; they migrate through a border wall gap to their range in the United States. Recently a jaguar is believed to have traversed the Patagonia Mountains before being documented in the nearby Santa Rita Mountains. The mining projects may harm Harshaw Creek, a fragile riparian area teeming with biodiversity.
Supportive Interest Groups: Commercial Groups: The Southern Arizona Business Coalition and the Nogales-Santa Cruz County Chamber of Commerce"
Fort Cady ,"Location: Additional Location Information: Located in the Mojave Desert, CA, approximately 30 miles east of Barstow (pop 25,415, 2020) and two-and-four-tenths miles south of Interstate 40.
Project Description: Status of Project: Goal is to reach full production level in mid-2026. In 2023 the developer completed a Technical Report on capital costs for the full project. In 2024 the developer investigated federal funding opportunities at the Department of Defense and the Department of Energy.  In early January 2024 limited quantities of boric acid and lithium were extracted at four production wells.                                                                                                                                                                                            Developer Description: Lead Developer: When a group of investors acquired the Fort Cady project in 2016, the company, was known as American Pacific Borates, and was listed on the Australian Securities Exchange (ASX). It was later rebranded to 5E Advanced Materials and the primary listing was moved to the Nasdaq.                                                                                                                          
Commercial Plans: Planned Production Capacity: Phase 1 would yield around 1,100 tons per year of lithium carbonate, and this volume would be expected to rise to 5,500 tons per year in phase 3.                                                                                                                                                                                                                                                                                                  Commercial Plans: Total Capital Costs: Investment at the Fort Cady facility was $70 million as of mid-2023. Capital expenditures expected to be spread through 2024-26, totaling $373 million.
Financial Support: Grant/Loan: Some additional support from the US Department of Agriculture.   "
Goodsprings,"Location: Additional Location Information: Located near the township of Goodsprings (pop 162, 2020), southern Nevada, approximately 31 miles southwest of Las Vegas.
Project Description: Existing Mine: Long history of small-scale mining activity in Goodsprings district.
Project Description: Status of Project: Koba Resources reports in its FY 2024 Annual Report that no significant work was done at its cobalt projects in FY 2024. Soil sampling was done in 2018 by the site's previous owner, but no drilling has been conducted as of early 2025.
Developer Description: Was There Change in Ownership during Project?: The site was previously owned by New World Cobalt Limited (Australia), previously named Longford Resources. 
Land Ownership: Type of Land:The developer owns a 100% interest in 118 unpatented mining claims covering approximately 900 hectares."
Graphite Creek,"Location: Additional Location Information: Located on the Seward Peninsula (Bering Strait), 35 miles north of town of Nome (pop 3,699, 2020), Alaska, near the Arctic Circle. 
Project Description: Status of Project: The developer announced in June 2024 a field program for 2024 that would collect the required data, including additional drilling, for a prefeasibility study, which is expected to be completed in early 2025.
Project Description: Regulatory Challenges: Most of the permitting will be handled by the State of Alaska.  However, the project necessitates the construction of a road network to the property (e.g., a new road network through the Arctic from Nome to the mine site).   A previous effort to obtain the federal wetlands permit from the Corps was not successful. In 2018 local community and environmental opposition led to a delay in the Corps deliberations and a temporary loss of state funding for the project. The developer is expected to make another effort to obtain the federal wetlands permit.  
Commercial Plans: Processing Plan in US: Processing to be conducted in Niles, Ohio.
Financial Support: Federal Agency: DOD grant of $37.5 million.  However, the grant has led to a consultation controversy.  Three tribal governments (Telles, Brevig Mission, anermit;  In 2018 local community opposition to the road network led to a temporary loss of state funding and diminished prospects for the Army Corps pd Mary Igloo) stated in December 2023 that the Biden Department of Defense violated its own consultation principles when it awarded the $37.5 million grant to the developer for the proposed graphite mine in Alaska.  The grant was announced in July 2023 but DOD never responded to three independent letters from the three tribes.  In December 2023 the tribes disclosed the letters, which were written with the assistance of the environmental law firm Trustees for Alaska.
Concerned Interest Groups: Scale of Environmental Groups: Local -- Northern Alaska Environmental Center
Reason for Concern: Water Quality: Proximity of mining site to important water sources is reportedly a cause for concern in nearby communities.
Reasons for Concern: Subsistence Hunting/Fishing: Native Americans near the project site practice traditional food-gathering practices that they believe may be affected by the mine.
Supportive Interest Groups: Commercial Groups: Bering Straits Native Corp.
Reasons for Support: Employment: 300 jobs to be created in rural Alaska."
Green River -- American Potash,"Location: Additional Location Information: Paradox Basin, 20 miles northwest of Moab, Grand County, southeastern Utah; 13 miles northwest of Intrepid Potash’s evaporation pond solution mining operation. The proposed exploration area is located approximately 21 miles northwest of the town of Moab, Utah and 27 miles southeast of the town of Green River, Utah in the Spring Canyon Point area between the geographic features of Spring Canyon and Ten Mile Wash that are adjacent to the Green River.                                                                                                                                                                                                                                    Project Description: Co-Producing Materials: Wells in and around our project reported lithium up to 500ppm, bromine up to 6,100 ppm and boron up to 1,260 ppm (Gilbride & Santos, 2012). This data is reinforced by nearby potash production and the advanced stage of neighbouring lithium projects.                                                                                                                                                                                                                                 Project Description: Land Ownership: Federal and State. The developer holds a 100% interest in eleven State of Utah (SITLA) mineral and minerals salt leases covering approx. 7,050 acres, 1095 federal lithium brine claims (Bureau of Land Management (""BLM"") Placer Claims) covering 21,150 acres, and 11 federal (BLM) potash prospecting permits covering approximately 25,480 acres. Through these leases, permits and claims the Company has the ability to explore for potash, lithium and potential by-products across the entire Green River Project (approx. 32,530 acres).                                                                                                                       Project Description: Change in Ownership: In 2009, American Potash entered into an option
agreement with Sweetwater River Resources for interest in these PPAs and was established as the Operator by the BLM in 2012. In 2024 a  new option agreement with LiK Resources LLC, a private Houston-based exploration company, on its Green River Potash and Lithium Project; the agreement defines conditions for 70% ownership by LiK Resources.  

                            "
"Green River -- Blackstone
","Location: Additional Local Information: Near Green River (pop 827, 2020), a small community along Interstate 70, in Emery County, southeastern Utah. The Green River lithium project, which abuts the Green River, is located 32 miles from the same developer’s Paradox lithium project.                                                                                                            Statement of Concern: Federal:  Federal agencies, including the Bureau of Land Management (BLM) and Bureau of Reclamation, later voiced concerns over the project — the BLM said the application was premature because the company hadn’t yet sought its approval to operate on federal land. Reclamation worried the project would withdraw water from the beleaguered Colorado River. Plus, the company had “not provided sufficient information to demonstrate that water returned to the hydrologic system following mineral extraction would not contaminate or otherwise affect nearby water sources or downstream users,” the bureau wrote to the Utah Division of Water Rights.                                                       Litigation: Evidence of Litigation: Lawsuit filed In Utah’s 7th District Court in Moab against the Utah Division of Water Rights by environmental groups and nearby residents. The lawsuit claims that decision should be invalidated because the project could impair existing water rights, while interfering with “the more beneficial use of the water.” The company also hasn’t filed “a contract for payment of royalties” which is required by the state, the complaint alleges. And, the project is “detrimental to the public welfare,” with the lawsuit arguing the state is unable “to assess the legitimacy of Blackstone’s claims related to direct lithium extraction and its impacts on water consumption and water rights.”     Concerned Interest Groups: Scale of Environmental Groups: Local/Regional.  Living Rivers and the Great Basin Water Networks.
Concerned Interest Groups: Recreational Groups: Tourism.  Holiday River Expeditions, a guiding operation based in Green River.
"
Cowboy State,"Project Name: The Halleck Creek Project was recently renamed the Cowboy State Mine, see Project Note on Developer.   
Location: Additional Location Information: Located in Laramie Mountains, southeast Wyoming; closest town is Wheatland (population 3,500, 2020). 
Project Description: Co-Producing Materials: Neodymium, praseodymium, dysprosium, and terbium, as well as secondary magnetic rare-earth oxides (REOs).  There is also a possibility that the Brook deposit may contain meaningful amounts of gallium and germanium, two critical minerals that are widely used in semiconductors and defense systems.
Project Description: Status of Project: 2024 drilling program confirmed enormous potential of the project. Developer is advancing toward completing an updated resource estimate and Pre-Feasibility Study (PFS).                                                                                                                                             
Developer Description: Lead Developer: A restructuring occurred in 2024 to attract domestic investment, accelerate development, and ease issues with foreign investment rules. Wyoming Rare Inc.is now separate and 100% owned; American Rare Earths is the parent organization. The company partitioned the Cowboy State Mine section of its Halleck Creek project into an independent entity now called Wyoming Rare (USA) Inc., or WRI, which may help the project draw on a targeted class of investors.
Financial Support: Federal Agency: In late 2024, the Export-Import Bank of the United States (EXIM) issued a non-binding Letter of Interest to provide up to US$456 million in debt financing to the project, specifically to assist with construction and operations of the project. Developer, Wyoming Rare Inc, also received $304,000 from the Wyoming Energy Authority as apart of their grant program.
Land Ownership: Type of Land: 4,500 acres were permitted for mining in 2020; 15,800 acres in total"
Hermosa/Patagonia,"Location: Additional Location Information: Located near Nogales (pop 19,770, 2020) in the abandoned mining district of Harshaw, Patagonia Mountains, southern Arizona; 50 miles southeast of Tucson, 20 miles from US-Mexican border.
Project Description: Status of Project: In January 2024 the developer released the Critical Minerals Exploration and Mine Plan of Operations, a roadmap of operational activities at the Hermosa project from start to finish, as the project is located on lands managed by the Coronado National Forest. Later in 2024, the developer secured from the state a key air quality permit.
Project Description: Regulatory Challenges: The USFS approved a 15-hole exploration plan in October 2011.  Under litigation pressure from wildlife and conservation groups, USFS withdrew approval of the exploration plan in April 2012. The developer and USFS then worked for several years on a revised environmental assessment. 
Developer Description: Was There Change in Ownership during Project?: Acquired Phelps-Dodge in 2007.
Commercial Plans: Planned Lifespan of Mine: Estimated Mine Life: 2056
Financial Support: Federal Agency: $20M federal support from DOD under the Defense Production Act Battery Program. DOE providing $166M, or up to one third of the cost of the manganese production facility at the Hermosa mine.  
Land Ownership: Type of Land: Purchased from the BLM: In September 2005, as part of a ""land swap"", Phelps Dodge (which was subsequently purchased by Freeport-McMoran) transferred 3,867 acres of ""environmentally sensitive"" land to the BLM and purchased 16,297 acres located next to proposed mine from the BLM. In order to reach full production, the mine must also obtain approval from USFS because of proximity to a national forest.  That process is underway.
Statements of Concern from Public Officials: Local: Mayor of Patagonia has stated that the town does not support the mine
Litigation: Evidence of Litigation: A federal district court has ordered the Forest Service to complete a Supplemental Information Report and consider another report under the National Environmental Policy Act; the court gave both parties a schedule of deadlines extending through April 2025. Both the district court and the 9th Circuit denied requests from environmentalists to halt exploratory drilling while litigation against USFS exploratory permit is resolved. 
Concerned Interest Groups: Scale of Environmental Groups: Local -- Patagonia Area Resource Alliance (PARA), Sky Island Alliance, Friends of Sonoita Creek; National -- Earthworks, Defenders of Wildlife; Center for Biological Diversity.
Reasons for Concern: Water Supply: Possible dverse effect of groundwater pumping on the Gila or nearby springs and Bonita Creek
Reasons for Concern: Impact on Species: Concerns about ocelot, Mexican spotted owl, Pima pineapple cactus; jaguar. 
Reasons for Support: Economic Growth: This project could be the largest single investment in the history of Santa Clara County."
Idaho Cobalt Operations,"Location: Additional Location Information: Located approximately 40 miles west of Salmon (pop 3,295, 2023) in the Salmon-Challis Forest near Cobalt (pop 13, 2020), central Idaho. The site is adjacent to the inactive Blackbird mine. 
Project Description: Status of Project: 2024 drilling program confirmed promise of the Ram deposit.                                                                                                                                                                        
Concerned Interest Groups: Indigenous Groups: Shoshone-Bannock Tribes, whose historic homeland covers the southern half of Idaho and large portions of bordering states.
Concerned Interest Groups: Scale of Environmental Groups: Local/Regional -- Idaho Conservation League."
Idaho Cobalt Project,"Project Name: The Idaho Cobalt Project is made up of the Victory Project, the Fairway Project, the Twin Peaks Project, and the Ulysses Project
Location: Additional Location Information: The Idaho Cobalt Project is comprised of two operations in separate locations in Idaho; the Mine and Mill, and the Cobalt Production Refining Facility (CPF). The Mine and Mill site is in East Central Idaho, approximately 26 miles west of the town of Salmon (pop 3,295, 2023). The CPF site is in an industrial park in the Blackfoot municipal area (pop 12,346, 2020) in southwest Idaho.  
Project Description: Co-Producing Materials: Idaho stands as one of the three locations globally, along with Finland and Morocco, where cobalt is the primary metal, making it a highly exceptional region for cobalt resources. However, the projects also would produce some copper and gold, which should enhance the economic viability of the projects.
Project Description: Existing Mine: Historical Twin Peaks mine and former Badger prospect. 
Project Description: Status of Project: The developer in 2023-2024 undertook geological mapping and rock sampling, combined  with a river sediment sampling program in the Twin Peaks area.  
Developer Description: Lead Developer: The lead developer, Champion Electric Metals, was established in 2016 under the name “Idaho Champion”, since initially it focused solely on Idaho-centric assets. However, in 2023 the company rebranded to Champion Electric to reflect its expansion into Québec and their focus on battery metals.
Land Ownership: Type of Land: 6,280 acres of public land in Salmon National Forest "
CuMo Project (Idaho Copper Project),"Location: Additional Location Information: Located 3 miles east of Grimes Pass (pop 192, 2020), 14 miles north of Idaho City,  40 miles northwest of Boise, southern Idaho.
Project Description: Mining Method: Open-pit.
Project Description: Co-Producing Materials: Molybdenum is an important metal used primarily in high-quality steel applications, for strength, corrosion resistance and other properties. Since molybdenum prices are roughly 5 times the price of copper, and the developer expects that somewhat equivalent volumes of both metals will be produced, molybdenum may provide the bulk of the revenue generated. Silver will contribute a much smaller share of the revenue.  The ore at CuMo also contains recoverable rhenium (a defense metal) and tungsten.
Project Description: Status of Project: Exploration. USFS decision on Plan of Operations due 2025, which would facilitate more exploratory drilling.Most of the previous exploration was done between the late 1990s and 2012, the year of the last drilling. The developer started a Preliminary Economic Assessment in 2024, completion is due 1Q 2025.  
Project Description: Regulatory Challenges: The Project has a complex regulatory history, even though the developer has not yet completed exploration. The original USFS environmental assessment lost in court in 2012 to a lawsuit by environmental groups.  The prior owner then moved the Project through a Supplemental Environmental Assessment (SEA) that concluded in October 2015 with a Finding of No Significant Impact and a favorable Decision Notice from USFS on exploratory drilling. But, USFS is now redoing the SEA because of another judicial reversal and submission of a new plan by the current developer.  The new plan contains environmental protection measures such as dust abatement and all roads are located at least 500 feet slope distance from perennial streams such as Grimes Creek.  Special measures in the plan include spill containment, which the plan said will be provided at all gasoline-powered pumps near streams or water sources. The drill systems will also operate on a “closed system,” meaning fluids are mixed at the drill site, sent directly down the drill pipe, and return fluids recirculate back up the hole. The plan said the fluid products are non-toxic or biodegradable. The developer will also monitor surface and groundwater, and will continue to analyze and study LESA (Sacajawea’s bitterroot), ensuring the overall population will not be threatened or endangered during project operations. Even if USFS approves the plan, more litigation seems likely.  
Developer Description: Was There Change in Ownership during Project?: IC separated from American CuMo Mining Corporation in 2018.
Commercial Plans: Planned Production Capacity: Projected initial yearly copper output through a sulfide concentrator may be in the range of 30 million pounds, molybdenum up to 50 million pounds, with about a million ounces of silver.   
Land Ownership: Type of Land: Public (USFS), located in Boise National Forest.  The project currently consists of 126 federal unpatented lode mining claims, and 6 patented mining claims. In total, the project comprises approximately 2,640 acres.
Litigation Evidence of Litigation: In 2012, the U.S. District Court for the District of Idaho found that the Forest Service had not adequately analyzed the groundwater issues associated with exploration.  he USFS revised the environmental analysis and approved the exploration plan again in 2015.  In the supplemental environmental assessment, USFS and the developer decided to go with an alternative B project which was a “reduced roads” option, intended to address concerns over potential erosion and sedimentation to Grimes Creek. Grimes Creek feeds into Mores Creek, which feeds into Lucky Peak Reservoir. Three environmental organizations filed another lawsuit in early 2016. This time, the court said that the Forest Service had adequately looked at groundwater impacts and had addressed the Idaho Department of Environmental Quality’s concerns about degraded water quality, but did no not adequately determine the impacts on Sacajawea’s bitterroot (a rare, beautiful plant that occurs only in central Idaho).  
Concerned Interest Groups: Scale of Environmental Groups: Local/Regional -- Idaho Conservation League, Idaho Rivers United, Advocates for the West, and Golden Eagle Audubon
Reasons for Concern: Impacts to Natural Environment: Environmental groups are concerned that the developer's exploration activities, including road building, may impact Grimes Creek and the South Fork Payette River, which is eligible to be protected under the Wild and Scenic Rivers Act.  They are also concened that scenic values will be compromised, since roads and construction would be visible from the river corridor near Danskin. The ultimate concern is the mine itself, if constructed, would hurt the amazing scenery that the South Fork is currently known for.    
Reasons for Concern: Water Quality: The Boise River is the lifeblood of the Treasure Valley. The exploration site is upstream of half of Idaho’s population, and the Boise River watershed provides approximately 30 percent of Boise’s drinking water supply and irrigates over 300,000 acres of farmland. In the eyes of environmental groups and some community residents, the proposal places the entire watershed – and all who rely on it – at unacceptable risk.
Reasons for Concern: Classification of Species Impacted: Environmental groups are also concerned that the forest habitat of endangered species could be disrupted.  The Project site includes some of the best forest habitat remaining in the Boise Basin for an array of wildlife, including sensitive species like great grey owl, American goshawk, and wolverine. The exploration area also hosts a rare flower found only in the mountains of central Idaho, Sacajawea’s bitterroot. 
Reasons for Concern: Subsistence Hunting/Fishing: Recreation and fisheries are also areas of concern.  The surrounding watershed provides habitat for bull trout and native redband trout. If there is an increase in sedimentation, fish populations within and downstream of the project area may be adversely impacted. "
