Mine/Prospect,Project Name,Mining Method,Co-Producing Materials,Existing Mine,Status of Project,Regulatory Challenges ,County,Nearest Population Center,Population Size,Additional Location Information,Mining District,Mineral Occurrence,Lead Developer,Location of Lead Developer HQ,Lead Developer Website,Parent Company,Location of Parent Company HQ,Was There Change in Ownership during Project?,Planned Production Capacity (Thousands of Tons/Year),"Planned Lifespan of Mine 
(Years)",Processing Plan in US,Processing Done by the Same Lead Developer/Parent Company,"Total Capital Costs
 (Millions of Dollars)",Number of Federal Awards,Financial Support by Federal Agency,Year Granted,Grant/Loan,"Amount 
(Millions of Dollars)",Purpose of Support,Public Supply Agreement w/ an Automaker or Battery/Component Producer,Type of Land,Public Land Ownership,Year of Land Acquisition,Evidence of Litigation,Number of Cases,State and/or Federal,Court Rulings Issued,Level of Court,Link to Judicial Decision
Clayton Valley (PEM),,,,,"The project received all necessary permits from the State of Nevada and the Nevada Division of Water Resources for the demonstration plant construction and water discharge in 2022 and 2023, respectively. Construction was largely completed by Q3 of 2023; The developer’s partner, SLB, demonstrated completion of specific technical milestones to qualify the earn-in to 100% Project ownership.  Those milestones included continuous production of lithium carbonate for an extended period and achieving a material quantity of lithium product in excess of a required purity threshold.  ","SLB’s subsidiary, NeoLith Energy, has plans for DLE in Clayton Valley and has sued Albemarle over water rights. State regulators have granted Silver Peak more than 20 “extensions of time” since the 1980s, though the state recently renewed a small temporary water permit for SLB’s pilot plant, recognizing that the Silver Peak mine has not used more than 70% of its water rights since 2022. But the state claims that no additional water allocations can be made, which puts Albemarle in a controlling position.  In 2024 the state renewed SLB’s water access permit but only for five years and only at a level sufficient to operate the DLE pilot plant. SLB and Partner Pure Energy Minerals now have all the permits they need to complete construction and operate the DLE demonstration plant. Water remains an issue for commercial-scale operation. ",,,,"Located 3 miles southeast of Silver Peak (pop 213, 2022) in Clayton Valley, Nevada, adjacent to Albemarle’s active Silver Peak lithium mine. ",,,"SLB (USA), oil services company, (formerly Schlumberger Technology Inc.) is both partner and operator of the Clayton Valley Project. On May 29, 2019, Pure Energy and SLB signed an earn-In agreement over the CV Project which requires significant investment by SLB at the Project, to include the design and construction of a pilot plant capable of processing lithium-bearing brines for high-quality lithium hydroxide monohydrate (“lithium hydroxide” or “LiOH?H2O”) and/or lithium carbonate products at a specified rate.",,,,,PEM acquired the Clayton NE claim blocks located in Esmeralda County from Advantage Lithium and Nevada Sunrise Gold under an asset purchase agreement made in November 2017.,,,,,,,,,,,,,"Public (BLM), 950 claims in Clayton Valley area, project area is 23,360 acres. ",,,"For several years, Pure Energy Minerals has challenged Albemarle’s claims to use most of the water in the Valley. In total, Albemarle has received 21 extensions since the 1980s, according to a recent filing from Pure Energy Minerals. ",,,"In August 2020, a district court judge sided with Pure Energy Minerals, remanding one of the extensions back to state regulators for further deliberations.",,
Colson,,,,Salmon Canyon Mine produced copper-cobalt-gold ore from 1964 to 1979 through underground methods.,Koba Resources reports in its FY 2024 Annual Report that no significant work was done at its cobalt projects in FY 2024.,,,,,"Located 35 miles from Salmon (pop 3,295, 2023) in central Idaho at the site of the abandoned Canyon Salmon Mine. One mile from the confluence of the Main Salmon River and Middle Fork of the Salmon River.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus,,,,,"January 2025: Completed an updated and comprehensive 3D geological and geophysical model for the Project, a major step forward in understanding the basin setting and the structural and lithological controls driving mineralization.  The Company is in the process of submitting an amended NOI with the BLM and additional borehole permits with the Nevada Division of Minerals (DMRE). ",,,,,"Near Tonopah, Nevada, 17 miles from Rhyolite Ridge   ",,,,,,,,"In 2024 the developer completed the strategic acquisition of Altitude Ventures, secured CA$3.5M in financing, strengthened their corporate and technical teams, and obtained critical water rights and key permits.",,,,,,,,,,,,,,,,,,,,,
Compass Minerals,,,,,"The developer decided to delay indefinitely because the regulatory risks were too high, given Utah legislature concerns about water levels in Great Lake","In 2023 Utah lawmakers passed HB513, which requires developers to pay a severance tax to a fund for the lake and makes them minimize water use and resupply water to the lake to offset their use.  The practical effect is that the developer must demonstrate that the project will not consume any water, as new state regulations limit water withdrawals from the Great Salt Lake. ",,,,"Existing facility adjacent to the Great Salt Lake in Ogden (pop 87,321, 2020), western Weber County, Utah. ",,,,,,,,,,,,,,,,,,,,Binding five year agreement had been made with Ford for 40% of total production volume.,,,,,,,,,
Coosa,,,,,"Plan is for mine to open in 2027, processing facility sooner (broke ground in 2022).  ",,,,,"Located north of Montgomery and 50 miles south, southeast of Birmingham, and 23 miles south, southwest  of Sylacauga (pop 12,578, 2020), east-central Alabama. Mine site is in western Coosa County, adjacent to Talladega County.  A 37-mile swath of land known as the Graphite Belt runs entirely across Coosa County and into adjacent Alabama counties.",,,,,,,,,,,New site in Coosa County.,,,,$3.2 million in DOD funding of feasibility study.  ,,,,,,,,,,,,,,
Copper Creek,,"Open pit in the beginning, underground in second stage.",,"Began in early 1900s, changed ownership several times.  Abandoned mine purchased by Faraday Copper.","BLM approved further drilling in May 2024; Building on its 2023 Preliminary Economic Assessment, the developer announced in May 2024 $15 million in private financing to move the project forward.",,,,,"Located 43 miles northeast of Tucson, 10 miles from town of San Manuel (pop 3,551, 2010) and 6 miles from town of Mammoth (1,650, 2018 est), Arizona. ",,,,,,,,"Faraday Copper acquired the project in stages, 2018 and 2023.",,,,Preliminary plan is to process onsite.,,,,,,,,,"Property includes seven private patented claims, one private land parcel, nine Arizona State Land Department (ASLD) prospecting permits and 325 Bureau of Land Management (BLM) unpatented mining claims",,,,,,,,
Copper World Complex (Rosemont),"The developer is now using the name “Copper World Complex” to refer to a 44-year plan to mine on both sides of the mountains, an area that includes the former Rosemont project, the former Copper World project and additional private land the developer has acquired. ",,,,"The developer in 2023/2024 acquired the three necessary state permits: the Mined Land Reclamation Plan, the Aquifer Protection Permit, and the Air Quality Permit.  Phase 1 of the Copper World Complex, a 16-year plan, would develop the west side of the mountains with four open pits and three tailings dumps on approximately 4,500 acres of private land.  One of the flexible features of Phase 1 is that, since it does not use public land, the permits required would involve only the state of Arizona rather than the federal government.  To complete the Complex on the east side would require permits from the USFS. ","Despite years of work and support from the State, the developer lost the Rosemont Project due to federal regulatory complications. The 9th Circuit ruled the developer may not dispose of waste material on adjacent public land, causing indefinite delay of the Rosemont project. ",,,,"Located approximately 30 miles southeast of Tucson in southern Arizona on Coronado National Forest land on the east slope of the Santa Rita Mountains. The nearest established communities are Sonoita (pop 803, 2020) and Vail (pop 13,604, 2020). The larger Copper World project includes land on the west slope of the Santa Ritas that was not part of the Rosemont Project.  ",,,,,,,,Hudbay began purchasing shares of Augusta Resource Corporation of Canada in 2010.,Plan is to produce 1.5 million tons of copper over 15 years and 3.4 million tons over 28 years.  ,,,,,,,,,,,,"Public and Private- located partly within the Coronado National Forest near Tucson on 995 acres on private land, 75 acres of state-owned land, and 3,670 acres of mining claims on FS land.",,,A split 9th Circuit panel (2-1) upheld a district court ruling that the developer had established mineral prospects on only 300+ acres of Rosemont land but used an “in connection” with argument to allow waste and tailings to be discarded on nearby lands that have no demonstrated mineral potential.  The panel determined that no statute permits disposal of wastes on federal land without mineral deposits.  The US Supreme Court declined to hear an appeal.,,,,,
Copperwood,,,,,"Almost fully permitted, site preparation nearing the construction phase (pending project financing). The developer has projected construction start dates in the past that have not materialized. The latest information issued by the developer indicates the mine could open as soon as the spring of 2026.","Permitting for the mine has sputtered for more than a decade, including multiple air quality permits from the state Department of Environment, Great Lakes and Energy. The last one expired in 2023; another proposal went out for public comment in late 2024.","The county is known for the Porcupine Mountains Wilderness State Park, affectionately called the Porkies, which spans about 60,000 acres. There’s North America’s largest ski jump, resorts, and the shore of Lake Superior.",,,"Located 14 miles and 24 miles from the towns of Wakefield (pop 1,702, 2020) and Ironwood (pop 5,045, 2020), respectively; at south edge of the Keweenaw Copper province, the Porcupine Mountains copper district, western end of upper peninsula of Michigan",,,Owns 100% of the project,,,,,,,,,,,,,,,"The state (Michigan Strategic Fund) is currently considering a $50 million grant for infrastructure, conditional on the developer raising $150 million in private-sector support by December 2025.",,,,,,,,,,,
Cowboy State,"The Halleck Creek Project was recently renamed the Cowboy State Mine, see Project Note on Developer.",,"Neodymium, praseodymium, dysprosium, and terbium, as well as secondary magnetic rare-earth oxides (REOs).  There is also a possibility that the Brook deposit may contain meaningful amounts of gallium and germanium, two critical minerals that are widely used in semiconductors and defense systems.",,2024 drilling program confirmed enormous potential of the project. Developer is advancing toward completing an updated resource estimate and Pre-Feasibility Study (PFS).,,,,,"Located in Laramie Mountains, southeast Wyoming; closest town is Wheatland (population 3,500, 2020).",,,"A restructuring occurred in 2024 to attract domestic investment, accelerate development, and ease issues with foreign investment rules. Wyoming Rare Inc.is now separate and 100% owned; American Rare Earths is the parent organization. The company partitioned the Cowboy State Mine section of its Halleck Creek project into an independent entity now called Wyoming Rare (USA) Inc., or WRI, which may help the project draw on a targeted class of investors.",,,,,,,,,,,,"In late 2024, the Export-Import Bank of the United States (EXIM) issued a non-binding Letter of Interest to provide up to US$456 million in debt financing to the project, specifically to assist with construction and operations of the project. Developer, Wyoming Rare Inc, also received $304,000 from the Wyoming Energy Authority as a part of their grant program.",,,,,,"4,500 acres were permitted for mining in 2020; 15,800 acres in total.",,,,,,,,
CuMo Project (Idaho Copper Project),,Open-pit,"Molybdenum- an important metal used primarily in high-quality steel applications, for strength, corrosion resistance and other properties. Molybdenum prices are roughly 5 times the price of copper, and may provide the bulk of the projects revenue. Silver will contribute a much smaller share of the revenue.  The ore at CuMo also contains recoverable rhenium (a defense metal) and tungsten.",,"USFS decision on Plan of Operations due 2025, which would facilitate more exploratory drilling. Most of the previous exploration was done between the late 1990s and 2012, the year of the last drilling. The developer started a Preliminary Economic Assessment in 2024, completion is due 1Q 2025.  ","In 2012, the original USFS environmental assessment was reversed. In 2015, the previous developer issued a Supplemental Environmental Assessment (SEA) which was also reversed. The current developer has proposed a new plan that contains environmental protection measures that will hopefully comply with state and federal regulations; such as dust abatement, a 500 feet minimum road distance, and spill containment at all gasoline-powered pumps near streams or water sources operated on a “closed system”",,,,"Located 3 miles east of Grimes Pass (pop 192, 2020), 14 miles north of Idaho City,  40 miles northwest of Boise, southern Idaho.",,,,,,,, IC separated from American CuMo Mining Corporation in 2018.,"Projected initial yearly copper output through a sulfide concentrator may be in the range of 30 million pounds, molybdenum up to 50 million pounds, with about a million ounces of silver.   ",,,,,,,,,,,,"Public (USFS), located in Boise National Forest.  The project currently consists of 126 federal unpatented lode mining claims, and 6 patented mining claims. In total, the project comprises approximately 2,640 acres.",,,"In 2012, the U.S. District Court for the District of Idaho found that the Forest Service had not adequately analyzed the groundwater issues associated with exploration. The USFS revised the environmental analysis and approved the exploration plan again in 2015.  In the supplemental environmental assessment, USFS and the developer decided to go with an alternative B project which was a “reduced roads” option, intended to address concerns over potential erosion and sedimentation to Grimes Creek. Grimes Creek feeds into Mores Creek, which feeds into Lucky Peak Reservoir. Three environmental organizations filed another lawsuit in early 2016. This time, the court said that the Forest Service had adequately looked at groundwater impacts and had addressed the Idaho Department of Environmental Quality’s concerns about degraded water quality, but did no not adequately determine the impacts on Sacajawea’s bitterroot (a rare, beautiful plant that occurs only in central Idaho).  ",,,,,
Diamond Creek,,,,,"Comprised of 4,550 acres of unpatented mining claims in the middle of the Idaho REE-Th Belt. Diamond Creek has a historic USGS resource which estimated 70,000+ tons of total rare earth elements at an average comprised ge grade of 1.22% TREO. In 2022 the company completed their first drill program at Diamond Creek, initial inspection of the core utilizing XRF analysis is favorable (see news release dated November 3rd) and are still awaiting the official assays from the lab.",,,,,"The Diamond Creek REE Project covers approximately 1,841 hectares (4,550 acres) and is comprised of 244 unpatented lode mining claims in central Idaho, a first tier mining jurisdiction located just north-northwest of the town of Salmon, Idaho.",,,,,,,,,,,,,,,,,,,,,"Maintains 4,550 acres of unpatented mining claims and state lease land at Diamond Creek.",,,,,,,,
Eagle,,,,,Only active nickel mine in the United States.  Production began 2014; shutdown scheduled for 2029 unless new reserves are discovered.,"From discovery of the deposit in 2003, it took almost 15 years before mining began. Environmental and indigenous groups mounted spirited opposition, including litigation. The Michigan Court of Appeals upheld the mine’s operating and water permits in August, 2013. ",,,,"The mine is located in Western Marquette County, Upper Peninsula, Michigan; closest town is Big Bay (pop 257, 2020), 15 miles; Marquette (pop 20,629, 2020) is 33 miles away. Ore from the Eagle mine is trucked to the Humboldt mill, site of a former iron ore processing facility, for processing into concentrates. The Humboldt mill is approximately 37 miles west of Marquette.",,,,,,,,Lundin purchased Eagle Creek from Kennecott (Rio Tinto) in 2013.,,,Processing at the  nearby Humboldt Mill.,,,,"The U.S. Department of Energy (DOE) has selected REV Nickel for an award up to $145 million. The REV Nickel Project, in partnership with Revex Technologies, will produce nickel concentrate and other valuable U.S.-sourced critical minerals from metal-bearing waste streams, including discarded mine tailings and spent lithium-ion batteries. The recipient of the this funding is not the developer of the mine.",,,,,,,,,A coalition of national and local environmental groups and local tribes challenged both the state operating permit and the state water permit.  The litigation ended when the Michigan Court of Appeals affirmed both permits in August 2013. One lawsuit addressed that state operating permit; the other addressed the state water permit.,,,,,
Elk Creek,,,,,Developer difficulties in raising funds to move to the development phase; May 2024 study found that electrification of mine could cut substantially both the capital and operating costs of the project.,,,,,"Located 3 miles west of Elk Creek (pop 67, 2020), and 6 miles south of Tecumseh (1,677, 2010), southeast Nebraska; 65 miles southeast of Lincoln (state capital) and 80 miles south of Omaha.",,,,,,,,,,,,,,,,,,,,,"622 staked mining claims covering approximately 6,871 hectares (16,975 acres) in northern Idaho, in four claim blocks.",,,,,,,,
Elkhorn,,,,"Starting in 1921, ore with an average grade of 9.5% Co was regularly shipped from four mines in the area.",Koba Resources reports in its FY 2024 Annual Report that no significant work was done at its cobalt projects in FY 2024.,,,,,"Located 9 miles northwest of the Blackbird Cobalt District in Idaho Cobalt Belt near Salmon (pop 3,295, 2023), central Idaho. ",,,"Koba Resources (Australia), spun off New World in 2021.",,,,,"Prior owner was New World Cobalt Limited (Australia), previously named Longford Resources (Australia); temporarily sold to Tyranna in August 2018. ",,,,,,,,,,,,,28 unpatented mining claims for 227 hectares of public land; part of Salmon National Forest (USFS),,,,,,,,
Emily/Cuyuna,,,,"Mine closed in 1960, town of Harshaw was then abandoned.","Exploratory drilling was completed in 2024, and the project is awaiting permits for further development.",,,,,"Located in Cuyuna Iron Range near small town of Cuyuna (pop 296, 2020) in central Minnesota, 90 miles west of Duluth.",,,,,,,,South32 purchased the land in 2018 from Arizona Mining.,,,Processing either in Mexico or Canada,,,,,,,,,,,,,,,,,,
Fish Lake Valley,,,,,"A 2023 drilling program in north region suggests lithium brines likely in the south region.  January 2024 seismic reflection survey identifies promising drilling target in south region.  Next step is deep drill hole to a depth of 1,150 meters in the southern region.",,,,,"Village of Dyer ~12 miles south; town of Tonopah ~50 miles east; northern Esmeralda County, equidistant (280 km) between Vegas and Reno, Fish Lake Valley, West Central Nevada. 30km northwest of Abermarle’s Silver Peak operations, 10km to Ioneer’s Rhyolite Ridge project, and 20km west of Argosy’s Tonopah Lithium project.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flux,,,,,"The Flux Project was permitted for seven drill sites and, at this time (May 2024), has drilled on four of them. Remediation work has begun on both the new access roads and on the pads.  So far, the Flux Project has cut short access roads to four new pads, and finished drill work on them. Community outreach began in 2019.",,,,,"Located 4 miles south of Patagonia (pop 804, 2020) in southern Arizona, southern Patagonia Mountains, on ridge between Flux Canyon and Alum Gulch.",,,South 32 purchased Arizona Mining Inc.,,,,,,,,,,,,,,,,,,Coronado National Forest (USFS). ,,,"Eight local and national conservation groups  joined together to sue the Forest Service alleging the project's permits were wrongfully issued. The groups were represented by attorneys from EarthJustice. The Forest Service ultimately won the case. Local, regional and national environmental groups are now challenging the recent exploratory drilling permit issued by USFS.  Their quest for a preliminary injunction against drilling did not succeed in the courts, and the case was being heard on the merits as of late 2024.",,,,,
Fort Cady ,,,,,Goal is to reach full production level in mid-2026. In 2023 the developer completed a Technical Report on capital costs for the full project. In 2024 the developer investigated federal funding opportunities at the Department of Defense and the Department of Energy.  In early January 2024 limited quantities of boric acid and lithium were extracted at four production wells.,,,,,"Located in the Mojave Desert, CA, approximately 30 miles east of Barstow (pop 25,415, 2020) and two-and-four-tenths miles south of Interstate 40.",,,"When a group of investors acquired the Fort Cady project in 2016, the company, was known as American Pacific Borates, and was listed on the Australian Securities Exchange (ASX). It was later rebranded to 5E Advanced Materials and the primary listing was moved to the Nasdaq.",,,,,,"Phase 1 would yield around 1,100 tons per year of lithium carbonate, and this volume would be expected to rise to 5,500 tons per year in phase 3.  ",,,,"Investment at the Fort Cady facility was $70 million as of mid-2023. Capital expenditures expected to be spread through 2024-26, totaling $373 million.",,,,Some additional support from the US Department of Agriculture.   ,,,,,,,,,,,,
Goodsprings,,,,Long history of small-scale mining activity in Goodsprings district.,"Koba Resources reports in its FY 2024 Annual Report that no significant work was done at its cobalt projects in FY 2024. Soil sampling was done in 2018 by the site's previous owner, but no drilling has been conducted as of early 2025.",,,,,"Located near the township of Goodsprings (pop 162, 2020), southern Nevada, approximately 31 miles southwest of Las Vegas.",,,,,,,,"The site was previously owned by New World Cobalt Limited (Australia), previously named Longford Resources. ",,,,,,,,,,,,,The developer owns a 100% interest in 118 unpatented mining claims covering approximately 900 hectares.,,,,,,,,
Graphite Creek,,,,,"The developer announced in June 2024 a field program for 2024 that would collect the required data, including additional drilling, for a prefeasibility study, which is expected to be completed in early 2025.","Most of the permitting will be handled by the State of Alaska.  However, the project necessitates the construction of a road network to the property (e.g., a new road network through the Arctic from Nome to the mine site).   A previous effort to obtain the federal wetlands permit from the Corps was not successful. In 2018 local community and environmental opposition led to a delay in the Corps deliberations and a temporary loss of state funding for the project. The developer is expected to make another effort to obtain the federal wetlands permit.  ",,,,"Located on the Seward Peninsula (Bering Strait), 35 miles north of town of Nome (pop 3,699, 2020), Alaska, near the Arctic Circle. ",,,,,,,,,,,"Processing to be conducted in Niles, Ohio.",,,,"DOD grant of $37.5 million.  However, the grant has led to a consultation controversy.  Three tribal governments (Telles, Brevig Mission, anermit;  In 2018 local community opposition to the road network led to a temporary loss of state funding and diminished prospects for the Army Corps pd Mary Igloo) stated in December 2023 that the Biden Department of Defense violated its own consultation principles when it awarded the $37.5 million grant to the developer for the proposed graphite mine in Alaska.  The grant was announced in July 2023 but DOD never responded to three independent letters from the three tribes.  In December 2023 the tribes disclosed the letters, which were written with the assistance of the environmental law firm Trustees for Alaska.",,,,,,,,,,,,,,
Green River -- American Potash,,,"Wells in and around the project reported lithium up to 500ppm, bromine up to 6,100 ppm and boron up to 1,260 ppm. This data is reinforced by nearby potash production and the advanced stage of neighboring lithium projects",,,,,,,"Paradox Basin, 20 miles northwest of Moab, Grand County, southeastern Utah; 13 miles northwest of Intrepid Potash’s evaporation pond solution mining operation. The proposed exploration area is located approximately 21 miles northwest of the town of Moab, Utah and 27 miles southeast of the town of Green River, Utah in the Spring Canyon Point area between the geographic features of Spring Canyon and Ten Mile Wash that are adjacent to the Green River.",,,,,,,,"In 2009, American Potash entered into an option agreement with Sweetwater River Resources for interest in these PPAs and was established as the Operator by the BLM in 2012. In 2024 a  new option agreement with LiK Resources LLC, a private Houston-based exploration company, on its Green River Potash and Lithium Project; the agreement defines conditions for 70% ownership by LiK Resources. ",,,,,,,,,,,,,,"The developer holds a 100% interest in eleven State of Utah (SITLA) mineral and minerals salt leases covering approx. 7,050 acres, 1095 federal lithium brine claims (Bureau of Land Management (""BLM"") Placer Claims) covering 21,150 acres, and 11 federal (BLM) potash prospecting permits covering approximately 25,480 acres. Through these leases, permits and claims the Company has the ability to explore for potash, lithium and potential by-products across the entire Green River Project (approx. 32,530 acres).",,,,,,,
"Green River -- Blackstone
",,,,,,,,,,"Near Green River (pop 827, 2020), a small community along Interstate 70, in Emery County, southeastern Utah. The Green River lithium project, which abuts the Green River, is located 32 miles from the same developer’s Paradox lithium project.",,,,,,,,,,,,,,,,,,,,,,,,"Lawsuit filed In Utah’s 7th District Court in Moab against the Utah Division of Water Rights by environmental groups and nearby residents. The lawsuit claims that decision should be invalidated because the project could impair existing water rights, while interfering with “the more beneficial use of the water.” The company also hasn’t filed “a contract for payment of royalties” which is required by the state, the complaint alleges. And, the project is “detrimental to the public welfare,” with the lawsuit arguing the state is unable “to assess the legitimacy of Blackstone’s claims related to direct lithium extraction and its impacts on water consumption and water rights.”",,,,,
Hermosa/Patagonia,,,,,"In January 2024 the developer released the Critical Minerals Exploration and Mine Plan of Operations, a roadmap of operational activities at the Hermosa project from start to finish, as the project is located on lands managed by the Coronado National Forest. Later in 2024, the developer secured from the state a key air quality permit.","The USFS approved a 15-hole exploration plan in October 2011.  Under litigation pressure from wildlife and conservation groups, USFS withdrew approval of the exploration plan in April 2012. The developer and USFS then worked for several years on a revised environmental assessment. ",,,,"Located near Nogales (pop 19,770, 2020) in the abandoned mining district of Harshaw, Patagonia Mountains, southern Arizona; 50 miles southeast of Tucson, 20 miles from US-Mexican border.",,,,,,,,Acquired Phelps-Dodge in 2007.,,Estimated Mine Life: 2056,,,,,"$20M federal support from DOD under the Defense Production Act Battery Program. DOE providing $166M, or up to one third of the cost of the manganese production facility at the Hermosa mine.  ",,,,,,"Purchased from the BLM: In September 2005, as part of a ""land swap"", Phelps Dodge (which was subsequently purchased by Freeport-McMoran) transferred 3,867 acres of ""environmentally sensitive"" land to the BLM and purchased 16,297 acres located next to proposed mine from the BLM. In order to reach full production, the mine must also obtain approval from USFS because of proximity to a national forest.  That process is underway.",,,A federal district court has ordered the Forest Service to complete a Supplemental Information Report and consider another report under the National Environmental Policy Act; the court gave both parties a schedule of deadlines extending through April 2025. Both the district court and the 9th Circuit denied requests from environmentalists to halt exploratory drilling while litigation against USFS exploratory permit is resolved. ,,,,,
Idaho Cobalt Operations,,,,,2024 drilling program confirmed promise of the Ram deposit.,,,,,"Located approximately 40 miles west of Salmon (pop 3,295, 2023) in the Salmon-Challis Forest near Cobalt (pop 13, 2020), central Idaho. The site is adjacent to the inactive Blackbird mine. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho Cobalt Project,"The Idaho Cobalt Project is made up of the Victory Project, the Fairway Project, the Twin Peaks Project, and the Ulysses Project.
",,"Idaho stands as one of the three locations globally, along with Finland and Morocco, where cobalt is the primary metal, making it a highly exceptional region for cobalt resources. However, the projects also would produce some copper and gold, which should enhance the economic viability of the projects.",Historical Twin Peaks mine and former Badger prospect. ,"The developer in 2023-2024 undertook geological mapping and rock sampling, combined  with a river sediment sampling program in the Twin Peaks area.  ",,,,,"The Idaho Cobalt Project is comprised of two operations in separate locations in Idaho; the Mine and Mill, and the Cobalt Production Refining Facility (CPF). The Mine and Mill site is in East Central Idaho, approximately 26 miles west of the town of Salmon (pop 3,295, 2023). The CPF site is in an industrial park in the Blackfoot municipal area (pop 12,346, 2020) in southwest Idaho.  ",,,"The lead developer, Champion Electric Metals, was established in 2016 under the name “Idaho Champion”, since initially it focused solely on Idaho-centric assets. However, in 2023 the company rebranded to Champion Electric to reflect its expansion into Québec and their focus on battery metals.",,,,,,,,,,,,,,,,,,"6,280 acres of public land in Salmon National Forest ",,,,,,,,
Iron Creek,,,,,In November 2024 the developer acquired a 10-year permit from the USFS for exploration in and around its Iron Creek project at the eastern end of the Idaho Cobalt Belt. The developer has planned more drilling activities outside of the current resource area over the next two years. The Preliminary Economic Assessment is anticipated to begin shortly (June 2024).,,,,,"Located about 18 miles southwest of Salmon (3,295, 2023) in central Idaho, within the historic Blackbird cobalt-copper district of the Idaho Cobalt Belt. Iron Creek is a tributary creek that drains from the Salmon River Mountains in the west into the Salmon River. The Property encompasses the North Fork of Iron Creek.  ",,,"Formerly known as First Cobalt Corp, Electra purchased Iron Creek Property in 2018.",,,,,,"The planned production level from the Ontario refinery is 6,500 metric tons per year of battery-grade cobalt sulfate per year.  But not all of that output will come from mined material from the Iron Creek Project.  ",,,,,,"In August 2024, the U.S. Department of Defense (DOD) awarded the developer $20 million to complete the construction and commissioning of North America's only refinery capable of producing cobalt sulfate, along with other materials needed for lithium-ion batteries. The developer also has a grant from the Canadian government. In June 2024, NRCan invested $3.6 million toward a battery materials recycling plant being built alongside the Ontario Cobalt Refinery. This recycling operation will be able to recover high-quality lithium, nickel, cobalt, manganese, and graphite from black mass, a powder-like material produced when lithium-ion batteries are shredded for recycling.",,,,,"In July  2023, the developer announced that its battery-grade cobalt sulfate agreement with LG Energy Solution, a leading global manufacturer of lithium-ion batteries, had been extended and expanded from the initial terms. The agreement now provides for the supply of 19,000 tonnes of cobalt contained in sulfate beginning in 2025. The total will represent up to 80% of the developer's expected annual production.",,,,,,,,,
King's Mountain,,,,"The lithium mine at Kings Mountain, North Carolina was operated intermittently beginning in the 1940s and more consistently after Foote Mineral Company acquired and reopened the site in 1950. Production of lithium concentrates resumed in 1951. The mine was closed and allowed to flood in 1996, when Foote Mineral (by then owned by Cyprus Amax) ceased operations due to the economic advantages of lower-cost lithium extraction from brine in South America. ","Exploratory drilling began in 2017; the developer has drilled more than 300,000 feet of core across the property. The developer has invested approximately $100 million over the last five years in studies and testing to determine the commercial promise of the site; The developer's original plan was to restart the mine in 2026 but that plan has been delayed due to the lithium-price slump and financial issues. Nonetheless, in September 2024, the developer submitted applications for several state and federal permits that are required to relaunch mining at Kings Mountain.",,,,,"Located near Kings Mountain (pop 11,142, 2020), 35 miles west of Charlotte, North Carolina. Most of the town is in Cleveland County, with a small eastern portion in Gaston County.  The project site is off Interstate 85.",,,"Albemarle acquired the site in 2015. The developer (Albemarle) is a large global specialty chemicals company.  Its lithium business includes lithium through its own salt brine assets in Chile and the United States and two joint venture interests in hard-rock Australian mines, Talison (Greenbushes) and Wodgina.  It is developing additional lithium mines in the US and Argentina. The recent collapse of global lithium prices has caused Albemarle to lay off employees and curb capital spending in both 2023 and 2024. ",,,,,The developer purchased the abandoned site in 2015,"Newly estimated annual volume of production is 420,000 tonnes, which is drastically larger than the previous 50,000 ton output. The new estimate comes after the proposed mine was expanded 900 feet southwest of its previous position. ",,,"The developer currently operates a lithium processing facility at Kings Mountain with a production capacity of 5,500 tons per year. The developer also announced plans to create a “mega-flex” lithium conversion facility in the U.S. Southeast that would process up to 100,000 tons of lithium per year. The Kings Mountain mine would provide roughly half the raw material for the new plant.",,,"The $90 million grant from DOD is unusual because it can be used to pay the costs of reopening the mine, especially mining equipment.",,"In October 2022 the developer received a $150 million grant from DOE for processing facility site development, for the company's expanding Silver Peak Mine in Nevada, and for training/research in Cleveland, Ohio and Raleigh, North Carolina. At King's Mountain, the funds will pay a portion of the cost of a new commercial scale lithium concentrator facility",,,,,,,,,,,,
La Paz,,,,,"All necessary construction permits (state, local & federal) have been secured; The developer’s 2024 communications suggest it is giving higher priority to the Halleck Creek opportunity than to the La Paz Project.  ",,,,,"Located 16 miles northeast of Boise (pop 707, 2020), and 66 miles northwest of Phoenix, Arizona.",,,,,,,,,,,,Hydrometallurgical Plant and Pyrometallurgical Plant are both planned for the site.,,,In-kind assistance through collaboration with DOE’s Critical Material Institute; no grant or loan,,,,,,Project covers 6866 acres; it includes the Beaver Creek and Searchlight properties. $300 million in royalties to be paid to landowners.,,,,,,,,
